Model,PW_Mult,pos_weight,tau_cs,tau_baseline_old,CS_thr,CS_acc,CS_bal_acc,CS_macro_f1,CS_mcc,CS_up_prec,CS_up_rec,CS_dn_prec,CS_dn_rec,CS_roc_auc,CS_pr_auc_down,CS_brier,CS_TN,CS_FP,CS_FN,CS_TP,CMB_thr,CMB_acc,CMB_bal_acc,CMB_macro_f1,CMB_mcc,CMB_up_prec,CMB_up_rec,CMB_dn_prec,CMB_dn_rec,CMB_roc_auc,CMB_pr_auc_down,CMB_brier,CMB_TN,CMB_FP,CMB_FN,CMB_TP,OLD_dn_rec,OLD_macro_f1
RNN,0.25,0.2143,0.31,0.53,0.5,0.43498452012383904,0.5,0.30312837108953616,0.0,0.0,0.0,0.43498452012383904,1.0,0.4987666357919368,0.44712041088334276,0.38014654397936126,281,0,365,0,0.31,0.43034055727554177,0.49466192170818507,0.3008658008658009,-0.077848170938987,0.0,0.0,0.432348367029549,0.9893238434163701,0.4987666357919368,0.44712041088334276,0.38014654397936126,278,3,365,0,1.0,0.30312837108953616
RNN,0.5,0.4286,0.32,0.53,0.5,0.43498452012383904,0.5,0.30312837108953616,0.0,0.0,0.0,0.43498452012383904,1.0,0.5089162969824014,0.4422240564257914,0.2988714612991926,281,0,365,0,0.32,0.5356037151702786,0.5145127480134548,0.5098783041485843,0.03046637121801241,0.5757575757575758,0.6767123287671233,0.45622119815668205,0.35231316725978645,0.5089162969824014,0.4422240564257914,0.2988714612991926,99,182,118,247,1.0,0.30312837108953616
RNN,0.75,0.6429,0.43,0.53,0.5,0.43498452012383904,0.49344805732949837,0.33639165247737923,-0.029939221394741554,0.5,0.043835616438356165,0.43159609120521175,0.9430604982206405,0.5080485545751474,0.4446949003436205,0.2638719069516479,265,16,349,16,0.43,0.5,0.49856676254082777,0.49710663629900104,-0.0028428060235254063,0.5636363636363636,0.5095890410958904,0.43354430379746833,0.4875444839857651,0.5080485545751474,0.4446949003436205,0.2638719069516479,137,144,179,186,0.9857651245551602,0.3031365421820953
RNN,1.0,0.8572,0.49,0.53,0.5,0.4907120743034056,0.4915760737093551,0.4890358627421282,-0.01670681502162489,0.5566037735849056,0.4849315068493151,0.4268292682926829,0.498220640569395,0.493316433481207,0.4365688072082033,0.2509714302166208,140,141,188,177,0.49,0.48761609907120745,0.471637498171891,0.4696183849884039,-0.05791306837437755,0.5425,0.5945205479452055,0.3983739837398374,0.3487544483985765,0.493316433481207,0.4365688072082033,0.2509714302166208,98,183,148,217,0.8149466192170819,0.43868902439024393
RNN,1.5,1.2858,0.59,0.53,0.5,0.5603715170278638,0.4962999073758105,0.36234342198556907,-0.04186278977833266,0.5631825273010921,0.989041095890411,0.2,0.0035587188612099642,0.4987568858772486,0.4388358374508098,0.24844883321661632,1,280,4,361,0.59,0.5185758513931888,0.5027202261980208,0.5010715837834482,0.005563225538917123,0.5671641791044776,0.6246575342465753,0.4385245901639344,0.3807829181494662,0.4987568858772486,0.4388358374508098,0.24844883321661632,107,174,137,228,0.017793594306049824,0.37542320477474056
RNN,2.0,1.7144,0.65,0.53,0.5,0.565015479876161,0.5,0.361028684470821,0.0,0.565015479876161,1.0,0.0,0.0,0.4928094379174182,0.43727189949656964,0.25712856762226466,0,281,0,365,0.65,0.5015479876160991,0.47700482620777074,0.4680979461582522,-0.04911525486517343,0.5485327313769752,0.6657534246575343,0.39901477832512317,0.28825622775800713,0.4928094379174182,0.43727189949656964,0.25712856762226466,81,200,122,243,0.0,0.361028684470821
LSTM,0.25,0.2143,0.3,0.53,0.5,0.43498452012383904,0.5,0.30312837108953616,0.0,0.0,0.0,0.43498452012383904,1.0,0.49127870131136353,0.43360667451257584,0.3774248791128722,281,0,365,0,0.3,0.43498452012383904,0.5,0.30312837108953616,0.0,0.0,0.0,0.43498452012383904,1.0,0.49127870131136353,0.43360667451257584,0.3774248791128722,281,0,365,0,1.0,0.30312837108953616
LSTM,0.5,0.4286,0.34,0.53,0.5,0.43498452012383904,0.5,0.30312837108953616,0.0,0.0,0.0,0.43498452012383904,1.0,0.4804562960074099,0.42093015022457403,0.30005043901838546,281,0,365,0,0.34,0.47368421052631576,0.4904304587334861,0.47145002310180195,-0.019652805332016313,0.5523012552301255,0.36164383561643837,0.4275184275184275,0.6192170818505338,0.4804562960074099,0.42093015022457403,0.30005043901838546,174,107,233,132,1.0,0.30312837108953616
LSTM,0.75,0.6429,0.42,0.53,0.5,0.43034055727554177,0.4938429288743723,0.3053763440860215,-0.05896635860558291,0.2857142857142857,0.005479452054794521,0.431924882629108,0.9822064056939501,0.4965924048164579,0.4440377741991232,0.263597784455891,276,5,363,2,0.42,0.5309597523219814,0.5038512163018574,0.4928896569055434,0.008406511965620311,0.5676855895196506,0.7123287671232876,0.44148936170212766,0.29537366548042704,0.4965924048164579,0.4440377741991232,0.263597784455891,83,198,105,260,1.0,0.30312837108953616
LSTM,1.0,0.8572,0.5,0.53,0.5,0.4969040247678019,0.48722761175839713,0.4871700924534984,-0.025600373176887826,0.5540540540540541,0.5616438356164384,0.42028985507246375,0.4128113879003559,0.48674499098132895,0.42629112284828025,0.25050779129437895,116,165,160,205,0.5,0.4969040247678019,0.48722761175839713,0.4871700924534984,-0.025600373176887826,0.5540540540540541,0.5616438356164384,0.42028985507246375,0.4128113879003559,0.48674499098132895,0.42629112284828025,0.25050779129437895,116,165,160,205,0.8113879003558719,0.4291295168679823
LSTM,1.5,1.2858,0.6,0.53,0.5,0.565015479876161,0.5,0.361028684470821,0.0,0.565015479876161,1.0,0.0,0.0,0.49533466582167407,0.4381410141250929,0.24817432596304836,0,281,0,365,0.6,0.47987616099071206,0.4909959537854044,0.47963176064441887,-0.018129760526312443,0.5543071161048689,0.4054794520547945,0.42744063324538256,0.5765124555160143,0.49533466582167407,0.4381410141250929,0.24817432596304836,162,119,217,148,0.0,0.3603960396039604
LSTM,2.0,1.7144,0.66,0.53,0.5,0.565015479876161,0.5,0.361028684470821,0.0,0.565015479876161,1.0,0.0,0.0,0.4963486569492517,0.43744268909727163,0.25740455469705587,0,281,0,365,0.66,0.4969040247678019,0.4884561010091162,0.4884595799009324,-0.0230784618292797,0.554945054945055,0.5534246575342465,0.4219858156028369,0.4234875444839858,0.4963486569492517,0.43744268909727163,0.25740455469705587,119,162,163,202,0.0,0.361028684470821
